dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
questions,ResNet,BASE,1,1,512,3e-05,682497,16.347,0.274,1011.6
questions,ResNet,ENS_k4,4,1,512,3e-05,2729988,64.812,0.264,1042.8
questions,ResNet,TABM_k2,2,1,512,3e-05,685662,37.771,0.206,1381.4
questions,ResNet,TABM_k4,4,1,512,3e-05,689340,75.801,0.446,1381.5
questions,ResNet,TABM_k8,8,1,512,3e-05,696696,150.628,1.07,1381.6
questions,ResNet,BASE,1,2,512,3e-05,1208833,27.994,0.104,1450.0
questions,ResNet,ENS_k4,4,2,512,3e-05,4835332,111.652,0.515,1505.3
questions,ResNet,TABM_k2,2,2,512,3e-05,1211998,61.024,0.184,1822.2
questions,ResNet,TABM_k4,4,2,512,3e-05,1215676,121.804,0.256,1822.2
questions,ResNet,TABM_k8,8,2,512,3e-05,1223032,243.519,1.216,1822.3
questions,ResNet,BASE,1,3,512,3e-05,1735169,39.753,0.172,1888.4
questions,ResNet,ENS_k4,4,3,512,3e-05,6940676,159.078,0.324,1967.8
questions,ResNet,TABM_k2,2,3,512,3e-05,1738334,84.389,0.152,2262.6
questions,ResNet,TABM_k4,4,3,512,3e-05,1742012,169.109,0.755,2262.6
questions,ResNet,TABM_k8,8,3,512,3e-05,1749368,338.997,1.273,2262.7
questions,ResNet,BASE,1,4,512,3e-05,2261505,51.59,0.121,2326.8
questions,ResNet,ENS_k4,4,4,512,3e-05,9046020,205.453,0.677,2430.3
questions,ResNet,TABM_k2,2,4,512,3e-05,2264670,108.119,0.404,2703.0
questions,ResNet,TABM_k4,4,4,512,3e-05,2268348,215.435,0.602,2703.0
questions,ResNet,TABM_k8,8,4,512,3e-05,2275704,431.446,1.571,2703.1
questions,ResNet,BASE,1,5,512,3e-05,2787841,63.183,0.216,2765.2
questions,ResNet,ENS_k4,4,5,512,3e-05,11151364,252.239,0.498,2892.8
questions,ResNet,TABM_k2,2,5,512,3e-05,2791006,131.521,0.394,3143.4
questions,ResNet,TABM_k4,4,5,512,3e-05,2794684,262.294,0.772,3143.4
questions,ResNet,TABM_k8,8,5,512,3e-05,2802040,523.786,0.34,3143.5
questions,GCN,BASE,1,1,512,3e-05,945153,30.164,0.12,1986.7
questions,GCN,ENS_k4,4,1,512,3e-05,3780612,120.197,0.207,2030.0
questions,GCN,TABM_k2,2,1,512,3e-05,948318,65.292,0.218,2142.6
questions,GCN,TABM_k4,4,1,512,3e-05,951996,131.171,0.764,2142.7
questions,GCN,TABM_k8,8,1,512,3e-05,959352,260.908,0.374,2142.8
questions,GCN,BASE,1,2,512,3e-05,1734145,55.696,0.15,2522.6
questions,GCN,ENS_k4,4,2,512,3e-05,6936580,222.908,0.574,2602.0
questions,GCN,TABM_k2,2,2,512,3e-05,1737310,116.644,0.286,2681.9
questions,GCN,TABM_k4,4,2,512,3e-05,1740988,233.76,0.746,2682.0
questions,GCN,TABM_k8,8,2,512,3e-05,1748344,465.978,1.413,2682.1
questions,GCN,BASE,1,3,512,3e-05,2523137,81.506,0.148,3058.8
questions,GCN,ENS_k4,4,3,512,3e-05,10092548,324.61,0.367,3174.3
questions,GCN,TABM_k2,2,3,512,3e-05,2526302,167.916,0.399,3221.7
questions,GCN,TABM_k4,4,3,512,3e-05,2529980,335.907,0.817,3221.7
questions,GCN,TABM_k8,8,3,512,3e-05,2537336,672.43,1.005,3221.8
questions,GCN,BASE,1,4,512,3e-05,3312129,106.872,0.107,3596.1
questions,GCN,ENS_k4,4,4,512,3e-05,13248516,426.996,0.52,3747.8
questions,GCN,TABM_k2,2,4,512,3e-05,3315294,219.596,0.318,3761.0
questions,GCN,TABM_k4,4,4,512,3e-05,3318972,438.563,0.794,3761.0
questions,GCN,TABM_k8,8,4,512,3e-05,3326328,875.84,1.567,3761.1
questions,GCN,BASE,1,5,512,3e-05,4101121,132.515,0.196,4132.9
questions,GCN,ENS_k4,4,5,512,3e-05,16404484,529.647,0.698,4320.6
questions,GCN,TABM_k2,2,5,512,3e-05,4104286,270.138,0.321,4300.8
questions,GCN,TABM_k4,4,5,512,3e-05,4107964,540.753,0.827,4300.9
questions,GCN,TABM_k8,8,5,512,3e-05,4115320,1079.486,1.506,4301.0
questions,SAGE,BASE,1,1,512,3e-05,1469441,39.275,0.131,1306.4
questions,SAGE,ENS_k4,4,1,512,3e-05,5877764,155.608,0.206,1373.5
questions,SAGE,TABM_k2,2,1,512,3e-05,1472606,83.687,0.32,1678.9
questions,SAGE,TABM_k4,4,1,512,3e-05,1476284,166.688,0.766,1679.0
questions,SAGE,TABM_k8,8,1,512,3e-05,1483640,333.135,1.533,1679.1
questions,SAGE,BASE,1,2,512,3e-05,2782721,73.669,0.114,2038.1
questions,SAGE,ENS_k4,4,2,512,3e-05,11130884,293.854,0.569,2166.3
questions,SAGE,TABM_k2,2,2,512,3e-05,2785886,152.28,0.379,2416.6
questions,SAGE,TABM_k4,4,2,512,3e-05,2789564,303.957,0.631,2416.6
questions,SAGE,TABM_k8,8,2,512,3e-05,2796920,607.792,1.451,2416.7
questions,SAGE,BASE,1,3,512,3e-05,4096001,107.915,0.128,2771.1
questions,SAGE,ENS_k4,4,3,512,3e-05,16384004,431.777,0.581,2958.2
questions,SAGE,TABM_k2,2,3,512,3e-05,4099166,220.833,0.174,3153.3
questions,SAGE,TABM_k4,4,3,512,3e-05,4102844,442.467,0.678,3153.4
questions,SAGE,TABM_k8,8,3,512,3e-05,4110200,883.683,1.607,3153.5
questions,SAGE,BASE,1,4,512,3e-05,5409281,142.321,0.115,3503.3
questions,SAGE,ENS_k4,4,4,512,3e-05,21637124,569.53,0.464,3750.8
questions,SAGE,TABM_k2,2,4,512,3e-05,5412446,290.204,0.545,3891.0
questions,SAGE,TABM_k4,4,4,512,3e-05,5416124,579.034,0.521,3891.1
questions,SAGE,TABM_k8,8,4,512,3e-05,5423480,1159.131,1.58,3891.2
questions,SAGE,BASE,1,5,512,3e-05,6722561,176.831,0.19,4235.5
questions,SAGE,ENS_k4,4,5,512,3e-05,26890244,706.652,0.409,4543.6
questions,SAGE,TABM_k2,2,5,512,3e-05,6725726,359.27,0.398,4628.2
questions,SAGE,TABM_k4,4,5,512,3e-05,6729404,716.934,0.807,4628.3
questions,SAGE,TABM_k8,8,5,512,3e-05,6736760,1435.319,1.386,4628.4
questions,GAT,BASE,1,1,512,3e-05,946177,34.708,0.095,3436.2
questions,GAT,ENS_k4,4,1,512,3e-05,3784708,138.463,0.219,3479.5
questions,GAT,TABM_k2,2,1,512,3e-05,949342,74.591,0.179,3589.9
questions,GAT,TABM_k4,4,1,512,3e-05,953020,149.854,0.679,3589.9
questions,GAT,TABM_k8,8,1,512,3e-05,960376,298.086,1.224,3590.1
questions,GAT,BASE,1,2,512,3e-05,1736193,65.07,0.153,4809.3
questions,GAT,ENS_k4,4,2,512,3e-05,6944772,259.52,0.528,4888.8
questions,GAT,TABM_k2,2,2,512,3e-05,1739358,135.148,0.402,4966.0
questions,GAT,TABM_k4,4,2,512,3e-05,1743036,270.673,0.737,4966.1
questions,GAT,TABM_k8,8,2,512,3e-05,1750392,539.596,1.223,4966.2
questions,GAT,BASE,1,3,512,3e-05,2526209,95.186,0.152,6181.9
questions,GAT,ENS_k4,4,3,512,3e-05,10104836,379.455,0.229,6297.6
